file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending
annotated_Piano7_candace_page2,14,A3,5.0,P1,57,True,-12.0,12.0,4,8,0.5,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,14,E4,1.0,P1,64,True,7.0,7.0,5,8,0.625,0,5.0,1.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,14,E3,1.0,P1,52,True,-12.0,12.0,6,8,0.75,0,1.0,3.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,14,C#4,3.0,P1,61,True,9.0,9.0,7,8,0.875,0,1.0,5.0,1,0,1,5,0,0,1,0
annotated_Piano7_candace_page2,15,F5,5.0,P1,77,True,16.0,16.0,0,9,0.0,0,3.0,4.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page2,15,E5,4.0,P1,76,True,-1.0,1.0,1,9,0.1111111111111111,0,5.0,3.0,0,1,0,6,1,0,0,1
annotated_Piano7_candace_page2,15,C5,3.0,P1,72,True,-4.0,4.0,2,9,0.2222222222222222,0,4.0,1.0,0,0,0,6,0,0,0,1
annotated_Piano7_candace_page2,15,A4,1.0,P1,69,True,-3.0,3.0,3,9,0.3333333333333333,0,3.0,2.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,15,C5,2.0,P1,72,True,3.0,3.0,4,9,0.4444444444444444,0,1.0,5.0,0,0,0,6,0,0,1,0
annotated_Piano7_candace_page2,15,F3,5.0,P1,53,True,-19.0,19.0,5,9,0.5555555555555556,0,2.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,15,C4,1.0,P1,60,True,7.0,7.0,6,9,0.6666666666666666,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,15,A3,3.0,P1,57,True,-3.0,3.0,7,9,0.7777777777777778,0,1.0,4.0,0,0,0,4,0,1,0,1
annotated_Piano7_candace_page2,15,E3,4.0,P1,52,True,-5.0,5.0,8,9,0.8888888888888888,0,3.0,5.0,0,0,0,4,0,1,0,1
annotated_Piano7_candace_page2,16,F5,5.0,P1,77,True,25.0,25.0,0,12,0.0,0,4.0,4.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page2,16,E5,4.0,P1,76,True,-1.0,1.0,1,12,0.08333333333333333,0,5.0,2.0,0,1,0,6,1,0,0,1
